date,actual,predicted,train_mean,inner_idx,sstart,window_end
2011-09-01,0.001541758,0.0014208942349726768,0.0013408568705882353,0,0,2012-08-01
2011-10-01,0.000195946,0.0013277600286132956,0.0013718358705882353,0,1,2012-09-01
2011-11-01,0.000748019,0.0033430659406973946,0.0014284580235294118,0,2,2012-10-01
2011-12-01,0.00461494,0.0031928639300437063,0.0013929587176470589,0,3,2012-11-01
2012-01-01,-0.000622397,0.0001691880967860353,0.0013626417647058825,0,4,2012-12-01
2012-02-01,-0.002631852,0.0005135455624764395,0.001357247317647059,0,5,2013-01-01
2012-03-01,0.002450932,0.0021232679965804773,0.0013942296,0,6,2013-02-01
2012-04-01,0.003396772,0.0025005483875178793,0.0013808913058823533,0,7,2013-03-01
2012-05-01,0.001564307,-0.0009392913191558527,0.0013015859647058823,0,8,2013-04-01
2012-06-01,0.000489148,0.004043547253146895,0.0013171560352941178,0,9,2013-05-01
2012-07-01,0.001955952,-0.0020588136705643545,0.0013971269294117648,0,10,2013-06-01
2012-08-01,-0.001295953,0.0019000606181458705,0.0013285784,0,11,2013-07-01
2012-09-01,-9.46e-05,0.0019006135093973823,0.0012811824352941177,0,12,2013-08-01
2012-10-01,-0.000412342,-9.103682133833548e-05,0.001265864588235294,0,13,2013-09-01
2012-11-01,0.004788092,0.0033362837474109086,0.0012287052588235295,0,14,2013-10-01
2012-12-01,-5.12e-05,-0.00032209756905647043,0.001152107482352941,0,15,2013-11-01
2013-01-01,0.004900913,0.0012982713095274923,0.0011454078588235294,0,16,2013-12-01
2013-02-01,0.004478509,0.0036921959235631163,0.0011752467058823528,0,17,2014-01-01
2013-03-01,0.004021497,-0.0007629638856375294,0.001101570705882353,0,18,2014-02-01
2013-04-01,0.001115173,0.0016479018974264428,0.001116400482352941,0,19,2014-03-01
2013-05-01,0.002642206,0.0023748754813953583,0.001141332494117647,0,20,2014-04-01
2013-06-01,-0.003937529,5.137056328140272e-05,0.0011570356588235294,0,21,2014-05-01
2013-07-01,0.005422384,0.0007210273693222112,0.0011339387529411763,0,22,2014-06-01
2013-08-01,0.004718599,0.004367280497750436,0.001171290811764706,0,23,2014-07-01
2013-09-01,0.003267402,0.0011587295971041424,0.0011176826588235294,0,24,2014-08-01
2013-10-01,0.005577829,0.0029832731460892117,0.0012003525764705883,0,25,2014-09-01
2013-11-01,0.001496985,0.0018182740161112113,0.001244042376470588,0,26,2014-10-01
2013-12-01,-0.004847856,0.00210216516923885,0.0012797865176470589,0,27,2014-11-01
2014-01-01,0.002806315,0.0033491252816874113,0.0013739652470588237,0,28,2014-12-01
2014-02-01,0.005900511,0.003210224157938329,0.0013730784823529415,0,29,2015-01-01
2014-03-01,0.001173027,0.00306131863237755,0.0012925677882352944,0,30,2015-02-01
2014-04-01,0.003443963,0.0020351106520598485,0.0012434047764705884,0,31,2015-03-01
2014-05-01,0.003637652,0.0030123678972337697,0.0013152166588235295,0,32,2015-04-01
2014-06-01,0.00280792,0.0010679588376945673,0.0012745447764705882,0,33,2015-05-01
