sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0011670674387666057,0.001775647077709829,0.00221291757415865,0.711260567036918
1,2004-06-01,2012-09-01,0.0015191446925288052,0.001854232180293157,0.002322914707571527,0.6367904477782108
2,2004-07-01,2012-10-01,0.0019423890019495337,0.00195810323814757,0.00239020717165288,0.5821711946064053
3,2004-08-01,2012-11-01,0.0019423890019495337,0.0019241103121769969,0.0023770293731318684,0.5923492431718915
4,2004-09-01,2012-12-01,0.002060985910948227,0.002132213033242512,0.0025283343665779764,0.5672294249268474
5,2004-10-01,2013-01-01,0.001946777440036102,0.0019667796967256642,0.0024397321459785236,0.5993797684300952
6,2004-11-01,2013-02-01,0.0023678391242735793,0.002093148515944273,0.002561968354494699,0.5668030891597133
7,2004-12-01,2013-03-01,0.0022803742856860325,0.0022149084326267185,0.0026154080770123492,0.5645418510750361
8,2005-01-01,2013-04-01,0.002432849612855363,0.00233728480028195,0.0027760396724258543,0.4899094901680584
9,2005-02-01,2013-05-01,0.00247328756169908,0.0024298575764719046,0.0028147352927999094,0.47204362667285926
10,2005-03-01,2013-06-01,0.00247328756169908,0.0024553605269020604,0.002816947840567472,0.4655978047363345
11,2005-04-01,2013-07-01,0.00272587427202188,0.002658162703028602,0.0030539835501597655,0.44662027817210015
12,2005-05-01,2013-08-01,0.0025373763276121826,0.0027403256445356714,0.003163713081662723,0.4508197959443495
13,2005-06-01,2013-09-01,0.0026119126412780533,0.002449264957130896,0.0029113381155263067,0.5572243477678138
14,2005-07-01,2013-10-01,0.002432849612855363,0.0023479551289352593,0.0028040351775220104,0.585145714127523
15,2005-08-01,2013-11-01,0.0015175378769825489,0.0024051744100015053,0.002856072918312687,0.5969591341150867
16,2005-09-01,2013-12-01,0.0021826730782245002,0.002385474617433801,0.0028521038307889237,0.5943282228337676
17,2005-10-01,2014-01-01,0.002180262902532563,0.0026752891652893325,0.0033232631884293935,0.4981820499496519
18,2005-11-01,2014-02-01,0.002180262902532563,0.002670319331548705,0.003322930027177206,0.4996594160393435
19,2005-12-01,2014-03-01,0.0019581609445088913,0.002584718592268791,0.00325305229923684,0.5323063252859197
20,2006-01-01,2014-04-01,0.002318118738753619,0.0026196489173022017,0.0032761065749799963,0.5067318601216348
21,2006-02-01,2014-05-01,0.0021976567214931748,0.0024406742556108405,0.003098061728044444,0.5532210037504315
22,2006-03-01,2014-06-01,0.0017175913761398212,0.002372185837974494,0.0030686297522984837,0.5701232730284267
23,2006-04-01,2014-07-01,0.0022170904560565984,0.0023475224052833237,0.003066621788671473,0.5705735944061381
24,2006-05-01,2014-08-01,0.002096628438796154,0.0020183659620815948,0.0027723969908665727,0.6143685797371866
25,2006-06-01,2014-09-01,0.0021912284447050804,0.0018976358791646455,0.00259695917353034,0.6474662641402176
26,2006-07-01,2014-10-01,0.0022170904560565984,0.002117922051485232,0.0027752292965398102,0.6157577338378596
27,2006-08-01,2014-11-01,0.002096628438796154,0.002083375660056317,0.0027484150770932356,0.6285548084895312
28,2006-09-01,2014-12-01,0.0021095852185467937,0.001982955843514356,0.0026633185414582502,0.6315780847657643
29,2006-10-01,2015-01-01,0.002008556935849773,0.0020455212352471558,0.002683297473307336,0.6264323584981617
30,2006-11-01,2015-02-01,0.002008556935849773,0.001831264039346379,0.0021996830012219327,0.7342558332470274
31,2006-12-01,2015-03-01,0.002008556935849773,0.0018558233862955153,0.00220358839685409,0.7353765050660312
32,2007-01-01,2015-04-01,0.0018775872068629187,0.0018727537156629991,0.002220714261518585,0.7110370435656508
33,2007-02-01,2015-05-01,0.001770410801233785,0.0018188521478860855,0.00217084953006011,0.7296545445880229
34,2007-03-01,2015-06-01,0.0017304996042689464,0.0017571050499587011,0.0021246826518151124,0.7480907060975138
35,2007-04-01,2015-07-01,0.001757854786384384,0.0017884775778102499,0.0021406255561007333,0.7451269087623102
36,2007-05-01,2015-08-01,0.001757854786384384,0.0018022023559724925,0.0021417706664363574,0.7498078466278805
37,2007-06-01,2015-09-01,0.0019488329173429414,0.0019972400343657003,0.0022945796093517858,0.7131354815687614
38,2007-07-01,2015-10-01,0.0019488329173429414,0.0021070307954532165,0.00247105583368439,0.698823792236137
39,2007-08-01,2015-11-01,0.0017974315033807676,0.001929327181637751,0.0022880500884111007,0.7160899386307893
40,2007-09-01,2015-12-01,0.0017974315033807676,0.001977484957220958,0.002334558525092907,0.6958249711764256
41,2007-10-01,2016-01-01,0.001838010489866535,0.002048332654982467,0.0023974633796184203,0.6734198526666029
42,2007-11-01,2016-02-01,0.002051526878040801,0.002145554792518661,0.0024730091570081205,0.6737434955616303
43,2007-12-01,2016-03-01,0.002051526878040801,0.0020311357708111197,0.0023116162983694427,0.7051358048708136
44,2008-01-01,2016-04-01,0.0014262554794122642,0.00210815035898257,0.0023450352860015606,0.7228550754973491
45,2008-02-01,2016-05-01,0.002293404554967437,0.0022185982979114065,0.0024852327765544444,0.6825726780079412
46,2008-03-01,2016-06-01,0.0024921734211535707,0.0026470486436155,0.0031627860273503567,0.6147992730363352
47,2008-04-01,2016-07-01,0.0027920864323092184,0.002777014079394357,0.0032459020169229797,0.5917570740744086
48,2008-05-01,2016-08-01,0.0028130301345406197,0.0030982201125914657,0.003564318094952303,0.537441809895687
49,2008-06-01,2016-09-01,0.0038197051308008437,0.0032576372886898523,0.003622174224240238,0.5130293259349512
50,2008-07-01,2016-10-01,0.0038197051308008437,0.0032807473239266694,0.0036422534823525427,0.5143273078097795
51,2008-08-01,2016-11-01,0.0038197051308008437,0.0031029625425883045,0.003472936491493489,0.5183885649151898
52,2008-09-01,2016-12-01,0.0027735608211726867,0.003044926784583608,0.0034575577671733695,0.5302886096985884
53,2008-10-01,2017-01-01,0.0028812958208594653,0.0031138610394235156,0.003516728554572597,0.5125792508017402
54,2008-11-01,2017-02-01,0.0019832139007287778,0.0032420774730392028,0.0036383904232262284,0.5012146022503623
55,2008-12-01,2017-03-01,0.0028812958208594653,0.003146943754797126,0.003588211556061365,0.4925652042413058
56,2009-01-01,2017-04-01,0.0027344179964588853,0.0030594764564433404,0.0035375856985105834,0.4891680995100558
57,2009-02-01,2017-05-01,0.0014003700643120927,0.0032110411186652664,0.0036429593413768173,0.431626198414808
58,2009-03-01,2017-06-01,0.002250588799193966,0.002978222545100925,0.003494859086589247,0.4823904459332766
59,2009-04-01,2017-07-01,0.0017996895200491953,0.0026005205943419618,0.0029310919723312483,0.4864723082029506
60,2009-05-01,2017-08-01,0.0014792237321055155,0.002531906282042764,0.002873214133739936,0.48614396634070156
61,2009-06-01,2017-09-01,0.0019876077365280423,0.0023135786154556727,0.002547433835858815,0.5590366596494293
62,2009-07-01,2017-10-01,0.0019876077365280423,0.002241274523633762,0.0024937837896162225,0.5776611263340817
63,2009-08-01,2017-11-01,0.0018285019395927883,0.002039452905138945,0.0023267995349850017,0.6217652493565955
64,2009-09-01,2017-12-01,0.001556674168295988,0.0019292373109098878,0.0022538389808689665,0.6566036323155462
65,2009-10-01,2018-01-01,0.00167777493830618,0.0019551616833799828,0.002261985401505108,0.6448799808464837
66,2009-11-01,2018-02-01,0.001338906629220422,0.0016951698915387676,0.002050827781668365,0.7158806379301745
67,2009-12-01,2018-03-01,0.001338906629220422,0.0015174199887918226,0.0017645252085499142,0.7851029426120377
68,2010-01-01,2018-04-01,0.0015550823490361164,0.0015889663115525477,0.0018342095777362565,0.7694537106908339
69,2010-02-01,2018-05-01,0.00148214444845234,0.0015403343818986958,0.0018027178157881921,0.7732152001199453
70,2010-03-01,2018-06-01,0.00148214444845234,0.0015670424472638937,0.001856076647416277,0.7615411043928775
71,2010-04-01,2018-07-01,0.0015351914072138163,0.0017054930034609713,0.0019758052307497,0.7257861509710346
72,2010-05-01,2018-08-01,0.00148214444845234,0.0015358036752688385,0.0018664806066855143,0.7572143021810198
73,2010-06-01,2018-09-01,0.00148214444845234,0.0016299683650485607,0.0019940071032848385,0.722460278763037
74,2010-07-01,2018-10-01,0.0009404953152546596,0.0015528746424876478,0.0019101229200548582,0.7349594688103549
75,2010-08-01,2018-11-01,0.0015614720455688616,0.0016041881532999364,0.001956147029864707,0.7270508141013017
76,2010-09-01,2018-12-01,0.001978751609784717,0.0017328957957688702,0.002053661320309559,0.7252761439975454
77,2010-10-01,2019-01-01,0.0017323722604218298,0.0017087014710662112,0.0020460781979389654,0.7208500970281293
78,2010-11-01,2019-02-01,0.0017323722604218298,0.0017488724285309647,0.0020683222142049364,0.7196592597417883
79,2010-12-01,2019-03-01,0.0014941544387716877,0.0020489826562621436,0.002342153697559571,0.6625794936975751
80,2011-01-01,2019-04-01,0.0014941544387716877,0.002283516459390442,0.0026646050619304916,0.618936275507594
81,2011-02-01,2019-05-01,0.002071567803613672,0.0022684183995366914,0.00265256872911916,0.6414883119335176
82,2011-03-01,2019-06-01,0.00250653485643283,0.002451047705686892,0.002790047650746449,0.6006471710269874
83,2011-04-01,2019-07-01,0.00250653485643283,0.002463334036572365,0.0028072057361579273,0.5742567398829329
84,2011-05-01,2019-08-01,0.00250653485643283,0.002367781196449698,0.0027405258823624125,0.606655628878624
85,2011-06-01,2019-09-01,0.001921025864466074,0.002550909807282917,0.002827684792069375,0.5886576225956139
86,2011-07-01,2019-10-01,0.00120081381331493,0.0023810123604385957,0.002697185034857686,0.6282962286268305
87,2011-08-01,2019-11-01,0.00221810773186979,0.002415052976584202,0.0027203602187984965,0.6173953499188227
88,2011-09-01,2019-12-01,0.00120081381331493,0.002374738453232644,0.002693472704447459,0.6265261914829898
89,2011-10-01,2020-01-01,0.0014978956807186461,0.002229413313655567,0.002616236205787696,0.6213409621061894
90,2011-11-01,2020-02-01,0.00120081381331493,0.0023379697428302358,0.0026651899704603437,0.598594100298758
91,2011-12-01,2020-03-01,0.00221810773186979,0.002481152402921662,0.0027876043283726415,0.5578141213529858
92,2012-01-01,2020-04-01,0.00221810773186979,0.008056974856249266,0.021357210648007708,0.03811897172019807
93,2012-02-01,2020-05-01,0.001921025864466074,0.01074558519648347,0.024016812845420406,0.61177743009336
94,2012-03-01,2020-06-01,0.001921025864466074,0.013718921127043062,0.026528415868013158,0.567072851423474
95,2012-04-01,2020-07-01,0.0030829405670806057,0.015549871415302965,0.027553335797354226,0.5926312809590356
96,2012-05-01,2020-08-01,0.003380022434484322,0.016104116196177923,0.027705606292893748,0.5982924995668744
97,2012-06-01,2020-09-01,0.004279144760017244,0.01636097209661733,0.027733258369069695,0.5984509929984281
98,2012-07-01,2020-10-01,0.004279144760017244,0.016489330371140504,0.027748757702189614,0.5986999150160561
