sstart,ssample_start_date,ssample_end_date,mad,mae,rmse,r_sq
0,2004-05-01,2012-08-01,0.0016790215401262974,0.0025509220570049725,0.0031475977822346896,-0.42144239382764725
1,2004-06-01,2012-09-01,0.0017848226098662308,0.0022323112800269823,0.0025227214877534525,-0.30780800857924184
2,2004-07-01,2012-10-01,0.001875915235096072,0.00212255677766553,0.0024120884203855213,-0.5796166089541523
3,2004-08-01,2012-11-01,0.0019988413196340236,0.002196431166661769,0.0024694717245911765,-0.5755568312861901
4,2004-09-01,2012-12-01,0.0023025939018717087,0.002327839657097471,0.0025947287967866437,-0.40818883254943206
5,2004-10-01,2013-01-01,0.0024255199864096607,0.0022328561053738334,0.0025333109015914248,-0.31841970461082725
6,2004-11-01,2013-02-01,0.0024255199864096607,0.0023675676557752406,0.002777033525539792,-0.4940568169366353
7,2004-12-01,2013-03-01,0.0018908716034851236,0.0023536051081011434,0.0027617966563506127,-0.33385113996289784
8,2005-01-01,2013-04-01,0.0014721236231266211,0.002213049189867216,0.002624990959537623,-0.3463682243066042
9,2005-02-01,2013-05-01,0.0018908716034851236,0.002223793327624662,0.0026360171749441126,-0.3851685790494339
10,2005-03-01,2013-06-01,0.0016353516700194379,0.0022944702446968867,0.0026583551552965437,-0.4544641893198309
11,2005-04-01,2013-07-01,0.002227180768613478,0.0025484440449955884,0.002980495610896775,-0.2941425783490337
12,2005-05-01,2013-08-01,0.0021943081102849373,0.002813132992913098,0.003133735231921406,-0.19243564675036673
13,2005-06-01,2013-09-01,0.0021943081102849373,0.0029201384904632946,0.0032085471530622434,-0.12478894263806439
14,2005-07-01,2013-10-01,0.0015598072749107533,0.002835985273161291,0.0031304206308305446,-0.09336713156122456
15,2005-08-01,2013-11-01,0.0010994396391980508,0.0030499838760038056,0.0033397656167704153,-0.08830243066004417
16,2005-09-01,2013-12-01,0.0010994396391980508,0.0032190894671258576,0.0035113269144711294,-0.22535480481467807
17,2005-10-01,2014-01-01,0.001782454550047898,0.003497145726005241,0.0038925233117788898,-0.26073930326446515
18,2005-11-01,2014-02-01,0.001782454550047898,0.003417289276089857,0.0038818102995772093,-0.24752306838317883
19,2005-12-01,2014-03-01,0.0015740967412086891,0.003101310465192966,0.0035745290080441395,-0.011125571415716573
20,2006-01-01,2014-04-01,0.0015740967412086891,0.0030045415824598923,0.0035116453299789013,-0.04783461141116252
21,2006-02-01,2014-05-01,0.001918684388067804,0.003169764418242791,0.003640179707339306,-0.15299212695723075
22,2006-03-01,2014-06-01,0.0015740967412086891,0.0030084457567496857,0.0035631031332242057,-0.06551469882289984
23,2006-04-01,2014-07-01,0.001816951915795458,0.003312942017359405,0.0038327966945118004,-0.23350994501417444
24,2006-05-01,2014-08-01,0.001816951915795458,0.003136009191848393,0.0036397316199276862,-0.3325696889142524
25,2006-06-01,2014-09-01,0.002284126703197594,0.0029782235131203686,0.003531265659039596,-0.3642188553778163
26,2006-07-01,2014-10-01,0.002284126703197594,0.002967159437658849,0.0035223540216490603,-0.23398747282904786
27,2006-08-01,2014-11-01,0.002284126703197594,0.002914988932693774,0.0034917633866005113,-0.17844291158265024
28,2006-09-01,2014-12-01,0.002111417563164471,0.0027868564063179314,0.0033523677450470737,-0.2132400573554465
29,2006-10-01,2015-01-01,0.0020965174226501323,0.002465950983799663,0.0031050223850583986,-0.03848810394334534
30,2006-11-01,2015-02-01,0.0020965174226501323,0.0025332378615419934,0.0032597882937153403,-0.2930802486715449
31,2006-12-01,2015-03-01,0.002111417563164471,0.0027903900115002493,0.003389264369132196,-0.37408099053093946
32,2007-01-01,2015-04-01,0.002487303824433801,0.0027925078305180502,0.003390254912049087,-0.6242365114668584
33,2007-02-01,2015-05-01,0.002111417563164471,0.003086836345272276,0.0036885063571115637,-0.8282157455436163
34,2007-03-01,2015-06-01,0.0017461687976431028,0.003009403049289975,0.0036174423698522445,-0.6501241263210704
35,2007-04-01,2015-07-01,0.0017461687976431028,0.003222293164920659,0.0037364840267105253,-0.7476404297867745
36,2007-05-01,2015-08-01,0.0017461687976431028,0.0029916030891131064,0.0034969725329235517,-0.46547071382210237
37,2007-06-01,2015-09-01,0.0027596282060894746,0.0028680344293606653,0.0034211079453625778,-0.39933722938400384
38,2007-07-01,2015-10-01,0.0033165052454578524,0.003316833053976278,0.003951484053652691,-0.518268265447343
39,2007-08-01,2015-11-01,0.002919689288717401,0.003180615480374151,0.003886017489806732,-0.7872118027614308
40,2007-09-01,2015-12-01,0.0024653659191419116,0.0031151432245036938,0.00386419315042692,-0.8834845155744457
41,2007-10-01,2016-01-01,0.002318419360077958,0.002958230081781995,0.003787493880076345,-0.8850189336327465
42,2007-11-01,2016-02-01,0.002318419360077958,0.002956381564872879,0.0037873031950777314,-0.6382847348777769
43,2007-12-01,2016-03-01,0.002318419360077958,0.0027931602848340533,0.003486793022034747,-0.4950218726837845
44,2008-01-01,2016-04-01,0.002318419360077958,0.0030379402500717665,0.0038176455167503783,-0.47929207018823394
45,2008-02-01,2016-05-01,0.0024468386730963337,0.002945872829694838,0.0037934336328225814,-0.5199311307819394
46,2008-03-01,2016-06-01,0.0024468386730963337,0.0032211380642522833,0.004289861086554079,-0.15170499928323244
47,2008-04-01,2016-07-01,0.0013766251118921275,0.0030673186976911972,0.004223029112284692,-0.12745749876472368
48,2008-05-01,2016-08-01,0.0013766251118921275,0.003429470139353362,0.004693660867184443,-0.26065234058743325
49,2008-06-01,2016-09-01,0.0011591645720504893,0.0032785065716555884,0.004652495291877675,-0.2768543345706995
50,2008-07-01,2016-10-01,0.0011591645720504893,0.0033717853910576923,0.004690966691305786,-0.2701606021335945
51,2008-08-01,2016-11-01,0.0011591645720504893,0.002924008396503415,0.004254159845194898,-0.20222848068224164
52,2008-09-01,2016-12-01,0.0009301941910774192,0.0029479254441952697,0.00426063942334414,-0.17410552543001723
53,2008-10-01,2017-01-01,0.001831115148700997,0.0031127703099373253,0.004334958812219374,-0.2215910375069643
54,2008-11-01,2017-02-01,0.0021544189004131784,0.00347312501431776,0.004592678242556259,-0.2744643964699003
55,2008-12-01,2017-03-01,0.0022054423287462275,0.003469200135215218,0.004592376420033159,-0.37096791315974786
56,2009-01-01,2017-04-01,0.0016835659577882811,0.0031632723803984215,0.004342651263102178,-0.29985053053432686
57,2009-02-01,2017-05-01,0.0017002599421796472,0.003022103355456264,0.004156287253463654,-0.293082187583096
58,2009-03-01,2017-06-01,0.0017002599421796472,0.003099981354112814,0.004173276378948331,-0.2799454300375881
59,2009-04-01,2017-07-01,0.0016915334423281895,0.0026593384821815805,0.003455424961731294,-0.7715169467814578
60,2009-05-01,2017-08-01,0.0018133247090862136,0.0026059190927409125,0.0034476508244888166,-0.9564275927804711
61,2009-06-01,2017-09-01,0.0017002599421796472,0.002307277676332961,0.0028599269419250727,-0.7305092910493189
62,2009-07-01,2017-10-01,0.0017002599421796472,0.0023471279334410728,0.0028676088142091023,-0.7366647588126993
63,2009-08-01,2017-11-01,0.0021980596382202818,0.0021558060246072747,0.0027802446027373647,-0.7877024549985625
64,2009-09-01,2017-12-01,0.001070931464194911,0.002114530288884022,0.0027626087321830782,-0.5890780031983021
65,2009-10-01,2018-01-01,0.0010130191742324893,0.0020798434859955646,0.002748972027787187,-0.7104583988105142
66,2009-11-01,2018-02-01,0.0009661479157418074,0.0019013446368765735,0.002626175639695445,-0.43287281408274736
67,2009-12-01,2018-03-01,0.0009661479157418074,0.0017759517393465055,0.002390222888174097,-0.2699983264557426
68,2010-01-01,2018-04-01,0.0015465873890464726,0.0019388305120339015,0.002482898360871332,-0.33934402035586
69,2010-02-01,2018-05-01,0.0016340061215663162,0.0019215751957207632,0.0024721302140758563,-0.4082126748305477
70,2010-03-01,2018-06-01,0.0016340061215663162,0.0017518287184265975,0.002212011563190502,-0.0978175450940959
71,2010-04-01,2018-07-01,0.0014997161305557907,0.0016854202611927983,0.002182297567318107,-0.1215313323649454
72,2010-05-01,2018-08-01,0.0009661479157418074,0.0015202871287863982,0.002002648092297381,0.07994227239428686
73,2010-06-01,2018-09-01,0.0014997161305557907,0.001606072264235343,0.002032947164414611,0.04687034588523886
74,2010-07-01,2018-10-01,0.0014997161305557907,0.0015516304100853628,0.001925348224684594,0.018303570788232526
75,2010-08-01,2018-11-01,0.0015465873890464726,0.0015804692826903804,0.0019402469860054451,0.06566562431475276
76,2010-09-01,2018-12-01,0.0015871348630756342,0.001887036247633477,0.0022393058110972922,0.06478693588678808
77,2010-10-01,2019-01-01,0.0018936305432846574,0.002040655538289344,0.0023669942584856785,-0.1189458800866463
78,2010-11-01,2019-02-01,0.0018916956449451863,0.0021114741750958557,0.0024061124288030766,-0.09858542533619885
79,2010-12-01,2019-03-01,0.002287433692082256,0.002174231394432935,0.0024345455526677976,0.054357288334962894
80,2011-01-01,2019-04-01,0.002287433692082256,0.002319564816144159,0.0027086058921320386,0.15109556028858195
81,2011-02-01,2019-05-01,0.002287433692082256,0.002511554784508089,0.002958815349196579,0.09146294121669396
82,2011-03-01,2019-06-01,0.0020559355602194924,0.002453346679695185,0.002937975857807028,0.09163423905216994
83,2011-04-01,2019-07-01,0.0018536637428880833,0.0023526401467684702,0.0028745274648403914,0.030147373681803757
84,2011-05-01,2019-08-01,0.0019475069952839463,0.0025489118569179646,0.002996692906299069,0.013592165650774368
85,2011-06-01,2019-09-01,0.0020532283867225136,0.0027613106920988833,0.0031745383567196184,-0.06661319656811426
86,2011-07-01,2019-10-01,0.0018751512718353752,0.0029446531277231144,0.0033136800545309816,-0.14600581226365628
87,2011-08-01,2019-11-01,0.0018751512718353752,0.00284223113381229,0.003223053193058789,-0.11077974151992498
88,2011-09-01,2019-12-01,0.001049791023637401,0.002960024167609434,0.0032936072804272657,-0.14972382239645454
89,2011-10-01,2020-01-01,0.001324394273249754,0.0026836981099294375,0.003100416451469858,-0.18877339834428586
90,2011-11-01,2020-02-01,0.001324394273249754,0.0026406939831508758,0.003063672617419823,-0.21803983825695372
91,2011-12-01,2020-03-01,0.0019435313668951669,0.0026736728915488393,0.0030850511103531993,-0.25503853936801146
92,2012-01-01,2020-04-01,0.0017380034548040981,0.008627826746107691,0.02209770998310543,-0.05189831886827756
93,2012-02-01,2020-05-01,0.0016103836928832741,0.017146697532452123,0.03912096826925512,-0.037048813096143496
94,2012-03-01,2020-06-01,0.0016103836928832741,0.02004423040448119,0.040843938664962276,-0.03258214677207216
95,2012-04-01,2020-07-01,0.0016103836928832741,0.02319924930028121,0.042448845731640684,0.02791246763475208
96,2012-05-01,2020-08-01,0.002792893594697787,0.024916716352811365,0.042945215217585826,0.029756678432547368
97,2012-06-01,2020-09-01,0.0037847810359190187,0.025150228191623058,0.04297033320415385,0.030952139871299522
98,2012-07-01,2020-10-01,0.004433541793968487,0.025171595205802665,0.04297237343402871,0.03255136796504077
99,2012-08-01,2020-11-01,0.0038029641711188836,0.024943733653305898,0.04296085146229383,0.03391065919153513
100,2012-09-01,2020-12-01,0.0068301678720122175,0.025387280034451967,0.04301356956213769,0.03387678246793013
101,2012-10-01,2021-01-01,0.0068301678720122175,0.025306248809690082,0.04300944262945997,0.033938014611677
102,2012-11-01,2021-02-01,0.0057850245256872955,0.025834021039442923,0.043056900139822295,0.033187578799250717
103,2012-12-01,2021-03-01,0.0057850245256872955,0.025911911860538754,0.043062073884501194,0.032954800242013804
104,2013-01-01,2021-04-01,0.008333794384960758,0.02670948806014553,0.04319875998890339,0.03169557180390259
105,2013-02-01,2021-05-01,0.008333794384960758,0.021567531680789717,0.0373946673300431,0.053016648384843434
106,2013-03-01,2021-06-01,0.008333794384960758,0.013013012219988476,0.018863276449114754,0.23451558033262176
107,2013-04-01,2021-07-01,0.0076084384400625284,0.010337781664474603,0.01486220834554291,0.3255133047281996
108,2013-05-01,2021-08-01,0.006608545745391481,0.00741091707795683,0.009391154796395173,0.017153585442154173
