tau,Model,rolling_rmse_median,rolling_rmse_iqr,rolling_pts
1,GBM,0.35389570891850547,0.2073406562319494,97
1,XGBoost,0.3680330939668758,0.17924582938942876,97
1,CatBoost,0.3577995066748115,0.13562872744966492,97
1,Random Forest,0.3373475411019862,0.14060762645185715,97
1,LightGBM,0.3090767201551021,0.13348537189763984,97
1,ARIMA,0.31840637361774377,0.13056137557109043,97
3,GBM,0.3406456911393434,0.2057916266326614,97
3,XGBoost,0.32860561836053154,0.18245216032250472,97
3,CatBoost,0.3610461967845174,0.14379951498606977,97
3,Random Forest,0.3280168458052083,0.1666279070118443,97
3,LightGBM,0.3076051126149802,0.12748671110805032,97
3,ARIMA,0.31054963945639535,0.13483745324362026,97
6,GBM,0.3395233096730998,0.15699312238620952,97
6,XGBoost,0.3219082163898823,0.17590431157245662,97
6,CatBoost,0.33980468844984746,0.12922803259518867,97
6,Random Forest,0.3210580421707622,0.1591501181085712,97
6,LightGBM,0.3060000517298838,0.11477995764937626,97
6,ARIMA,0.3053160797915537,0.12195845295517997,97
9,GBM,0.3445301480587289,0.1826482371394183,97
9,XGBoost,0.3236951273935499,0.1695296267623615,97
9,CatBoost,0.3324568867391102,0.14006382226657255,97
9,Random Forest,0.3337896611507211,0.160234333609531,97
9,LightGBM,0.3056218732588355,0.1222385226717491,97
9,ARIMA,0.3058463828565557,0.12271097637311101,97
