date,actual,predicted,train_mean,y_train_mean,inner_idx,sstart,window_end
2012-03-01,0.002450932,0.0027431448231864932,0.0013408568705882353,0.0013408568705882353,0,0,2012-08-01
2012-04-01,0.003396772,0.0040532630645314744,0.0013718358705882353,0.0013718358705882353,0,1,2012-09-01
2012-05-01,0.001564307,-0.0004592111810097655,0.0014284580235294118,0.0014284580235294118,0,2,2012-10-01
2012-06-01,0.000489148,0.0027331394437247855,0.0013929587176470589,0.0013929587176470589,0,3,2012-11-01
2012-07-01,0.001955952,-0.00258808553870793,0.0013626417647058825,0.0013626417647058825,0,4,2012-12-01
2012-08-01,-0.001295953,0.0006888914445286752,0.001357247317647059,0.001357247317647059,0,5,2013-01-01
2012-09-01,-9.46e-05,0.002959469957171718,0.0013942296,0.0013942296,0,6,2013-02-01
2012-10-01,-0.000412342,0.0005355143300856291,0.0013808913058823533,0.0013808913058823533,0,7,2013-03-01
2012-11-01,0.004788092,0.0024763338529060837,0.0013015859647058823,0.0013015859647058823,0,8,2013-04-01
2012-12-01,-5.12e-05,0.0023966429642069253,0.0013171560352941178,0.0013171560352941178,0,9,2013-05-01
2013-01-01,0.004900913,0.002618075821236204,0.0013971269294117648,0.0013971269294117648,0,10,2013-06-01
2013-02-01,0.004478509,0.0033631937616332634,0.0013285784,0.0013285784,0,11,2013-07-01
2013-03-01,0.004021497,0.0005650574137498072,0.0012811824352941177,0.0012811824352941177,0,12,2013-08-01
2013-04-01,0.001115173,0.002277345154806407,0.001265864588235294,0.001265864588235294,0,13,2013-09-01
2013-05-01,0.002642206,0.0029834600011063644,0.0012287052588235295,0.0012287052588235295,0,14,2013-10-01
2013-06-01,-0.003937529,-0.0007874995924878603,0.001152107482352941,0.001152107482352941,0,15,2013-11-01
2013-07-01,0.005422384,0.0006738868248731281,0.0011454078588235294,0.0011454078588235294,0,16,2013-12-01
2013-08-01,0.004718599,0.004064285168211652,0.0011752467058823528,0.0011752467058823528,0,17,2014-01-01
2013-09-01,0.003267402,0.0008984432741487173,0.001101570705882353,0.001101570705882353,0,18,2014-02-01
2013-10-01,0.005577829,0.002905238253792744,0.001116400482352941,0.001116400482352941,0,19,2014-03-01
2013-11-01,0.001496985,0.0028955847443151647,0.001141332494117647,0.001141332494117647,0,20,2014-04-01
2013-12-01,-0.004847856,0.002417655210431831,0.0011570356588235294,0.0011570356588235294,0,21,2014-05-01
2014-01-01,0.002806315,0.002049641425774002,0.0011339387529411763,0.0011339387529411763,0,22,2014-06-01
2014-02-01,0.005900511,0.0029731118020071734,0.001171290811764706,0.001171290811764706,0,23,2014-07-01
2014-03-01,0.001173027,0.00236435653288431,0.0011176826588235294,0.0011176826588235294,0,24,2014-08-01
2014-04-01,0.003443963,0.00220242361639845,0.0012003525764705883,0.0012003525764705883,0,25,2014-09-01
2014-05-01,0.003637652,0.0021959666587120894,0.001244042376470588,0.001244042376470588,0,26,2014-10-01
2014-06-01,0.00280792,0.0006331960068068554,0.0012797865176470589,0.0012797865176470589,0,27,2014-11-01
2014-07-01,0.000590749,0.00456175263873586,0.0013739652470588237,0.0013739652470588237,0,28,2014-12-01
2014-08-01,-0.001563173,0.0016642781807558714,0.0013730784823529415,0.0013730784823529415,0,29,2015-01-01
2014-09-01,0.006198417,0.0034468649754642476,0.0012925677882352944,0.0012925677882352944,0,30,2015-02-01
2014-10-01,0.004123472,0.0026966437916885314,0.0012434047764705884,0.0012434047764705884,0,31,2015-03-01
2014-11-01,-0.000709675,0.0007288432227612708,0.0013152166588235295,0.0013152166588235295,0,32,2015-04-01
2014-12-01,0.001902856,0.0018666553463492566,0.0012745447764705882,0.0012745447764705882,0,33,2015-05-01
2015-01-01,-0.003601423,0.0017082897177857729,0.0012937710117647057,0.0012937710117647057,0,34,2015-06-01
2015-02-01,-0.000648095,0.0003572305073091627,0.0013244952235294115,0.0013244952235294115,0,35,2015-07-01
2015-03-01,-0.000897463,0.0022845217486813212,0.0013096066117647056,0.0013096066117647056,0,36,2015-08-01
2015-04-01,-0.000838176,-0.0007798498377396615,0.0012864302588235295,0.0012864302588235295,0,37,2015-09-01
2015-05-01,-0.001983337,0.00017855521144534967,0.0012733148941176469,0.0012733148941176469,0,38,2015-10-01
2015-06-01,0.003778411,0.0011938205411851886,0.0013149641176470588,0.0013149641176470588,0,39,2015-11-01
2015-07-01,0.003925907,0.004120133657520008,0.0013862419176470587,0.0013862419176470587,0,40,2015-12-01
2015-08-01,0.002195689,0.0007673159668171766,0.0013692105529411762,0.0013692105529411762,0,41,2016-01-01
2015-09-01,-0.00447532,0.0005961584534691452,0.0013826384588235291,0.0013826384588235291,0,42,2016-02-01
2015-10-01,0.000610204,0.0013340613798157222,0.0013862731882352938,0.0013862731882352938,0,43,2016-03-01
2015-11-01,0.002315494,0.0004517315141449842,0.0013395928235294115,0.0013395928235294115,0,44,2016-04-01
2015-12-01,0.001801736,0.0007961971359588589,0.0013455813058823526,0.0013455813058823526,0,45,2016-05-01
2016-01-01,0.005338494,0.002473317450284105,0.0013418905999999997,0.0013418905999999997,0,46,2016-06-01
2016-02-01,-0.002429846,-0.0013257211027710115,0.0012777661294117646,0.0012777661294117646,0,47,2016-07-01
2016-03-01,-0.003415126,6.303037920537169e-05,0.001312833094117647,0.001312833094117647,0,48,2016-08-01
2016-04-01,0.001675978,-0.0002761657066022304,0.0013194484705882352,0.0013194484705882352,0,49,2016-09-01
2016-05-01,-0.007620255,0.00010812885233568237,0.0012765490117647058,0.0012765490117647058,0,50,2016-10-01
