Horizon,Metric,Model,Median,IQR,N
tau_9,mae,ARIMA,0.2574315308589421,0.09853854575532187,102
tau_9,mae,CatBoost,0.2398271624497954,0.07940408078795344,102
tau_9,mae,GBM,0.23556263595300758,0.0678694917259069,102
tau_9,mae,LightGBM,0.23389039239031206,0.09306516832340858,102
tau_9,mae,Random Forest,0.24077396906600002,0.06910411944409214,102
tau_9,mae,XGBoost,0.23936853599603833,0.0680044231778193,102
tau_9,r_sq,ARIMA,0.06709024824954968,0.10931631770572325,102
tau_9,r_sq,CatBoost,0.14952465190142156,0.3201387014712695,102
tau_9,r_sq,GBM,0.18216357315870957,0.27830400133616107,102
tau_9,r_sq,LightGBM,0.20737975707834067,0.5464715484649805,102
tau_9,r_sq,Random Forest,0.20262130194550876,0.2572561769068573,102
tau_9,r_sq,XGBoost,0.21711512402446387,0.26111258792273595,102
tau_9,rmse,ARIMA,0.3044894194659349,0.12370691210963125,102
tau_9,rmse,CatBoost,0.2965381499138026,0.08519552790645632,102
tau_9,rmse,GBM,0.27099614908071323,0.10657518486069686,102
tau_9,rmse,LightGBM,0.288078781817519,0.11132623371947822,102
tau_9,rmse,Random Forest,0.2836975924220325,0.07647290127532416,102
tau_9,rmse,XGBoost,0.2781791907363993,0.10223150892861574,102
