date,actual,predicted,train_mean,inner_idx,sstart,window_end
2012-03-01,0.002450932,0.002917165867984295,0.0013408568705882353,0,0,2012-08-01
2012-04-01,0.003396772,0.0019521026406437159,0.0013718358705882353,0,1,2012-09-01
2012-05-01,0.001564307,-3.947284312744159e-07,0.0014284580235294118,0,2,2012-10-01
2012-06-01,0.000489148,0.0031266019213944674,0.0013929587176470589,0,3,2012-11-01
2012-07-01,0.001955952,-0.0019415412098169327,0.0013626417647058825,0,4,2012-12-01
2012-08-01,-0.001295953,0.0007191408076323569,0.001357247317647059,0,5,2013-01-01
2012-09-01,-9.46e-05,0.0031485585495829582,0.0013942296,0,6,2013-02-01
2012-10-01,-0.000412342,0.0011666660429909825,0.0013808913058823533,0,7,2013-03-01
2012-11-01,0.004788092,0.002331346273422241,0.0013015859647058823,0,8,2013-04-01
2012-12-01,-5.12e-05,0.0020067025907337666,0.0013171560352941178,0,9,2013-05-01
2013-01-01,0.004900913,0.002632899908348918,0.0013971269294117648,0,10,2013-06-01
2013-02-01,0.004478509,0.003780175931751728,0.0013285784,0,11,2013-07-01
2013-03-01,0.004021497,0.0005050365580245852,0.0012811824352941177,0,12,2013-08-01
2013-04-01,0.001115173,0.0026960489340126514,0.001265864588235294,0,13,2013-09-01
2013-05-01,0.002642206,0.0030451519414782524,0.0012287052588235295,0,14,2013-10-01
2013-06-01,-0.003937529,-0.00043662131065502763,0.001152107482352941,0,15,2013-11-01
2013-07-01,0.005422384,0.00026070428430102766,0.0011454078588235294,0,16,2013-12-01
2013-08-01,0.004718599,0.004407902248203754,0.0011752467058823528,0,17,2014-01-01
2013-09-01,0.003267402,0.000595176185015589,0.001101570705882353,0,18,2014-02-01
2013-10-01,0.005577829,0.0029463970568031073,0.001116400482352941,0,19,2014-03-01
2013-11-01,0.001496985,0.0032573065254837275,0.001141332494117647,0,20,2014-04-01
2013-12-01,-0.004847856,0.0036628167144954205,0.0011570356588235294,0,21,2014-05-01
2014-01-01,0.002806315,0.0017638045828789473,0.0011339387529411763,0,22,2014-06-01
2014-02-01,0.005900511,0.002433998743072152,0.001171290811764706,0,23,2014-07-01
2014-03-01,0.001173027,0.002170141786336899,0.0011176826588235294,0,24,2014-08-01
2014-04-01,0.003443963,0.0023564340081065893,0.0012003525764705883,0,25,2014-09-01
2014-05-01,0.003637652,0.0018559480085968971,0.001244042376470588,0,26,2014-10-01
2014-06-01,0.00280792,0.00023176315880846232,0.0012797865176470589,0,27,2014-11-01
2014-07-01,0.000590749,0.005395729094743729,0.0013739652470588237,0,28,2014-12-01
2014-08-01,-0.001563173,0.002003823406994343,0.0013730784823529415,0,29,2015-01-01
2014-09-01,0.006198417,0.003435129299759865,0.0012925677882352944,0,30,2015-02-01
2014-10-01,0.004123472,0.0025141104124486446,0.0012434047764705884,0,31,2015-03-01
2014-11-01,-0.000709675,0.0005451513570733368,0.0013152166588235295,0,32,2015-04-01
2014-12-01,0.001902856,0.002062458312138915,0.0012745447764705882,0,33,2015-05-01
2015-01-01,-0.003601423,0.0010673736687749624,0.0012937710117647057,0,34,2015-06-01
2015-02-01,-0.000648095,0.00010329932410968468,0.0013244952235294115,0,35,2015-07-01
2015-03-01,-0.000897463,0.0025320472195744514,0.0013096066117647056,0,36,2015-08-01
2015-04-01,-0.000838176,-0.0012595405569300056,0.0012864302588235295,0,37,2015-09-01
2015-05-01,-0.001983337,0.0007201770204119384,0.0012733148941176469,0,38,2015-10-01
2015-06-01,0.003778411,0.0014305250952020288,0.0013149641176470588,0,39,2015-11-01
2015-07-01,0.003925907,0.004884448368102312,0.0013862419176470587,0,40,2015-12-01
2015-08-01,0.002195689,-3.205742541467771e-05,0.0013692105529411762,0,41,2016-01-01
2015-09-01,-0.00447532,0.0003306499856989831,0.0013826384588235291,0,42,2016-02-01
2015-10-01,0.000610204,0.0015018433332443237,0.0013862731882352938,0,43,2016-03-01
2015-11-01,0.002315494,0.0011386898113414645,0.0013395928235294115,0,44,2016-04-01
2015-12-01,0.001801736,0.0011094373185187578,0.0013455813058823526,0,45,2016-05-01
2016-01-01,0.005338494,0.0028266157023608685,0.0013418905999999997,0,46,2016-06-01
2016-02-01,-0.002429846,-0.0009316933574154973,0.0012777661294117646,0,47,2016-07-01
2016-03-01,-0.003415126,-0.0010491907596588135,0.001312833094117647,0,48,2016-08-01
2016-04-01,0.001675978,-0.0003147534152958542,0.0013194484705882352,0,49,2016-09-01
2016-05-01,-0.007620255,0.0005288646789267659,0.0012765490117647058,0,50,2016-10-01
2016-06-01,0.004776649,0.0035383300855755806,0.0012471592117647057,0,51,2016-11-01
2016-07-01,0.007133884,0.0017406318802386522,0.0012639790352941176,0,52,2016-12-01
2016-08-01,0.001774054,0.005347582511603832,0.001290291905882353,0,53,2017-01-01
2016-09-01,0.004297368,0.002329946029931307,0.0014432650470588232,0,54,2017-02-01
2016-10-01,8e-05,-0.0018439021660014987,0.0016615895647058823,0,55,2017-03-01
2016-11-01,0.004279714,0.0017308816313743591,0.001732751482352941,0,56,2017-04-01
2016-12-01,0.002225108,-0.0012380436528474092,0.001737259458823529,0,57,2017-05-01
2017-01-01,0.005805781,0.0032556115183979273,0.0018356724823529408,0,58,2017-06-01
2017-02-01,0.001959055,0.0016386392526328564,0.0017825658352941176,0,59,2017-07-01
2017-03-01,0.004181002,0.0031740509439259768,0.001861159023529412,0,60,2017-08-01
2017-04-01,0.005276876,0.003538570599630475,0.001942339788235294,0,61,2017-09-01
2017-05-01,0.003675369,0.003056558547541499,0.001929202376470588,0,62,2017-10-01
2017-06-01,0.002311777,-0.0022946251556277275,0.0019666962823529414,0,63,2017-11-01
2017-07-01,0.001324458,0.000989264459349215,0.0018913974117647056,0,64,2017-12-01
2017-08-01,-0.001318687,-0.0015963423065841198,0.001923688494117647,0,65,2018-01-01
2017-09-01,0.002236284,0.0023681141901761293,0.0018771300352941173,0,66,2018-02-01
2017-10-01,0.001338224,0.001690192730166018,0.001917565811764706,0,67,2018-03-01
2017-11-01,0.004992827,0.003932394087314606,0.0018646084235294114,0,68,2018-04-01
2017-12-01,0.002710201,0.0031946771778166294,0.0018762630352941172,0,69,2018-05-01
2018-01-01,-0.000420828,-0.0012064633192494512,0.0018799499411764704,0,70,2018-06-01
2018-02-01,0.00514569,0.004745906684547663,0.0019337294470588233,0,71,2018-07-01
2018-03-01,0.00297025,0.003957311622798443,0.0018959721176470582,0,72,2018-08-01
2018-04-01,0.000447788,0.0009263945394195616,0.0018850556705882352,0,73,2018-09-01
2018-05-01,0.005426968,0.0019355716649442911,0.001862264764705882,0,74,2018-10-01
2018-06-01,0.001161108,0.003847634419798851,0.0018508005058823528,0,75,2018-11-01
2018-07-01,0.003167514,0.001955864019691944,0.0018645982823529406,0,76,2018-12-01
2018-08-01,0.002063738,-0.0005427160067483783,0.0018722791529411763,0,77,2019-01-01
2018-09-01,0.000108821,0.0029012891463935375,0.0018658720117647057,0,78,2019-02-01
2018-10-01,0.003624493,-0.0003178736078552902,0.0017777330235294118,0,79,2019-03-01
2018-11-01,-0.002396755,-0.0006506380159407854,0.001805207482352941,0,80,2019-04-01
2018-12-01,-0.000507987,0.0012982399202883244,0.001843062694117647,0,81,2019-05-01
2019-01-01,-0.00027747,0.003460831707343459,0.0018093140588235294,0,82,2019-06-01
2019-02-01,-0.002572036,0.00027648339164443314,0.0018574618823529415,0,83,2019-07-01
2019-03-01,0.008168522,0.0036270064301788807,0.0018993526117647062,0,84,2019-08-01
2019-04-01,0.005576397,0.0029840394854545593,0.0018961386470588237,0,85,2019-09-01
2019-05-01,0.002295297,0.002110111527144909,0.0018361336588235296,0,86,2019-10-01
2019-06-01,0.002381093,-0.00020141397544648498,0.0017725827411764709,0,87,2019-11-01
2019-07-01,-0.001010546,0.001491772010922432,0.0017970855058823533,0,88,2019-12-01
