date,actual,predicted,sstart,inner_idx
2013-12-01,-0.004847856,0.001540182515122712,27,3
2014-01-01,0.002806315,0.00179924699734961,27,4
2014-02-01,0.005900511,0.0013730104437961485,27,5
2014-03-01,0.001173027,0.0005939470417050864,27,6
2014-04-01,0.003443963,0.0014180149422916974,27,7
2014-05-01,0.003637652,0.0017087883244607442,27,8
2014-06-01,0.00280792,0.001254295282006373,27,9
2014-07-01,0.000590749,0.0015063932280895832,27,10
2013-12-01,-0.004847856,0.001540182515122712,30,0
2014-01-01,0.002806315,0.00179924699734961,30,1
2014-02-01,0.005900511,0.0013730104437961485,30,2
2014-03-01,0.001173027,0.0005939470417050864,30,3
2014-04-01,0.003443963,0.0014180149422916974,30,4
2014-05-01,0.003637652,0.0017087883244607442,30,5
2014-06-01,0.00280792,0.001254295282006373,30,6
2014-07-01,0.000590749,0.0015063932280895832,30,7
2014-08-01,-0.001563173,0.001498218347372919,30,8
2014-09-01,0.006198417,0.001433312701432255,30,9
2014-10-01,0.004123472,0.0012513688661365025,30,10
2014-03-01,0.001173027,0.0005939470417050864,33,0
2014-04-01,0.003443963,0.0014180149422916974,33,1
2014-05-01,0.003637652,0.0017087883244607442,33,2
2014-06-01,0.00280792,0.001254295282006373,33,3
2014-07-01,0.000590749,0.0015063932280895832,33,4
2014-08-01,-0.001563173,0.001498218347372919,33,5
2014-09-01,0.006198417,0.001433312701432255,33,6
2014-10-01,0.004123472,0.0012513688661365025,33,7
2014-11-01,-0.000709675,0.0009554384913530512,33,8
2014-12-01,0.001902856,0.001846728025145105,33,9
2015-01-01,-0.003601423,0.0016691700773916016,33,10
2014-06-01,0.00280792,0.001254295282006373,36,0
2014-07-01,0.000590749,0.0015063932280895832,36,1
2014-08-01,-0.001563173,0.001498218347372919,36,2
2014-09-01,0.006198417,0.001433312701432255,36,3
2014-10-01,0.004123472,0.0012513688661365025,36,4
2014-11-01,-0.000709675,0.0009554384913530512,36,5
2014-12-01,0.001902856,0.001846728025145105,36,6
2015-01-01,-0.003601423,0.0016691700773916016,36,7
2015-02-01,-0.000648095,0.0011857880445877947,36,8
2015-03-01,-0.000897463,0.0015322958769019605,36,9
2015-04-01,-0.000838176,0.0008429409551956536,36,10
2014-09-01,0.006198417,0.001433312701432255,39,0
2014-10-01,0.004123472,0.0012513688661365025,39,1
2014-11-01,-0.000709675,0.0009554384913530512,39,2
2014-12-01,0.001902856,0.001846728025145105,39,3
2015-01-01,-0.003601423,0.0016691700773916016,39,4
2015-02-01,-0.000648095,0.0011857880445877947,39,5
2015-03-01,-0.000897463,0.0015322958769019605,39,6
2015-04-01,-0.000838176,0.0008429409551956536,39,7
2015-05-01,-0.001983337,0.0011865860321711515,39,8
2015-06-01,0.003778411,0.0011473980508951611,39,9
2015-07-01,0.003925907,0.001060734711513956,39,10
2014-12-01,0.001902856,0.001846728025145105,42,0
2015-01-01,-0.003601423,0.0016691700773916016,42,1
2015-02-01,-0.000648095,0.0011857880445877947,42,2
2015-03-01,-0.000897463,0.0015322958769019605,42,3
2015-04-01,-0.000838176,0.0008429409551956536,42,4
2015-05-01,-0.001983337,0.0011865860321711515,42,5
2015-06-01,0.003778411,0.0011473980508951611,42,6
2015-07-01,0.003925907,0.001060734711513956,42,7
2015-08-01,0.002195689,0.0009154043224708108,42,8
2015-09-01,-0.00447532,0.001536535396100316,42,9
2015-10-01,0.000610204,0.0015039971217224507,42,10
2015-03-01,-0.000897463,0.0015322958769019605,45,0
2015-04-01,-0.000838176,0.0008429409551956536,45,1
2015-05-01,-0.001983337,0.0011865860321711515,45,2
2015-06-01,0.003778411,0.0011473980508951611,45,3
2015-07-01,0.003925907,0.001060734711513956,45,4
2015-08-01,0.002195689,0.0009154043224708108,45,5
2015-09-01,-0.00447532,0.001536535396100316,45,6
2015-10-01,0.000610204,0.0015039971217224507,45,7
2015-11-01,0.002315494,0.001451766864283418,45,8
2015-12-01,0.001801736,0.0006344269573327666,45,9
2016-01-01,0.005338494,0.0012173173008636876,45,10
2015-06-01,0.003778411,0.0011473980508951611,48,0
2015-07-01,0.003925907,0.001060734711513956,48,1
2015-08-01,0.002195689,0.0009154043224708108,48,2
2015-09-01,-0.00447532,0.001536535396100316,48,3
2015-10-01,0.000610204,0.0015039971217224507,48,4
2015-11-01,0.002315494,0.001451766864283418,48,5
2015-12-01,0.001801736,0.0006344269573327666,48,6
2016-01-01,0.005338494,0.0012173173008636876,48,7
2016-02-01,-0.002429846,0.0016376992695090846,48,8
2016-03-01,-0.003415126,0.0017143541499070791,48,9
2016-04-01,0.001675978,0.001895662435325747,48,10
2015-09-01,-0.00447532,0.001536535396100316,51,0
2015-10-01,0.000610204,0.0015039971217224507,51,1
2015-11-01,0.002315494,0.001451766864283418,51,2
2015-12-01,0.001801736,0.0006344269573327666,51,3
2016-01-01,0.005338494,0.0012173173008636876,51,4
2016-02-01,-0.002429846,0.0016376992695090846,51,5
2016-03-01,-0.003415126,0.0017143541499070791,51,6
2016-04-01,0.001675978,0.001895662435325747,51,7
2016-05-01,-0.007620255,0.0017737479381291891,51,8
2016-06-01,0.004776649,0.0018239750976416966,51,9
2016-07-01,0.007133884,0.0019012275560602542,51,10
2015-12-01,0.001801736,0.0006344269573327666,54,0
2016-01-01,0.005338494,0.0012173173008636876,54,1
2016-02-01,-0.002429846,0.0016376992695090846,54,2
2016-03-01,-0.003415126,0.0017143541499070791,54,3
2016-04-01,0.001675978,0.001895662435325747,54,4
2016-05-01,-0.007620255,0.0017737479381291891,54,5
2016-06-01,0.004776649,0.0018239750976416966,54,6
2016-07-01,0.007133884,0.0019012275560602542,54,7
2016-08-01,0.001774054,0.0018132004243328723,54,8
2016-09-01,0.004297368,0.00188262081128106,54,9
2016-10-01,8e-05,0.0019350611989007987,54,10
2016-03-01,-0.003415126,0.0017143541499070791,57,0
2016-04-01,0.001675978,0.001895662435325747,57,1
2016-05-01,-0.007620255,0.0017737479381291891,57,2
2016-06-01,0.004776649,0.0018239750976416966,57,3
2016-07-01,0.007133884,0.0019012275560602542,57,4
2016-08-01,0.001774054,0.0018132004243328723,57,5
2016-09-01,0.004297368,0.00188262081128106,57,6
2016-10-01,8e-05,0.0019350611989007987,57,7
2016-11-01,0.004279714,0.0019393825810138893,57,8
2016-12-01,0.002225108,0.0019118207250879348,57,9
2017-01-01,0.005805781,0.0018942543735665253,57,10
2016-06-01,0.004776649,0.0018239750976416966,60,0
2016-07-01,0.007133884,0.0019012275560602542,60,1
2016-08-01,0.001774054,0.0018132004243328723,60,2
2016-09-01,0.004297368,0.00188262081128106,60,3
2016-10-01,8e-05,0.0019350611989007987,60,4
2016-11-01,0.004279714,0.0019393825810138893,60,5
2016-12-01,0.002225108,0.0019118207250879348,60,6
2017-01-01,0.005805781,0.0018942543735665253,60,7
2017-02-01,0.001959055,0.0018720769148206464,60,8
2017-03-01,0.004181002,0.0018712339492905146,60,9
2017-04-01,0.005276876,0.0018635944908421296,60,10
2016-09-01,0.004297368,0.00188262081128106,63,0
2016-10-01,8e-05,0.0019350611989007987,63,1
2016-11-01,0.004279714,0.0019393825810138893,63,2
2016-12-01,0.002225108,0.0019118207250879348,63,3
2017-01-01,0.005805781,0.0018942543735665253,63,4
2017-02-01,0.001959055,0.0018720769148206464,63,5
2017-03-01,0.004181002,0.0018712339492905146,63,6
2017-04-01,0.005276876,0.0018635944908421296,63,7
2017-05-01,0.003675369,0.00184815933737344,63,8
2017-06-01,0.002311777,0.0018392712009529968,63,9
2017-07-01,0.001324458,0.0019185762086985356,63,10
2016-12-01,0.002225108,0.0019118207250879348,66,0
2017-01-01,0.005805781,0.0018942543735665253,66,1
2017-02-01,0.001959055,0.0018720769148206464,66,2
2017-03-01,0.004181002,0.0018712339492905146,66,3
2017-04-01,0.005276876,0.0018635944908421296,66,4
2017-05-01,0.003675369,0.00184815933737344,66,5
2017-06-01,0.002311777,0.0018392712009529968,66,6
2017-07-01,0.001324458,0.0019185762086985356,66,7
2017-08-01,-0.001318687,0.0018900483274717818,66,8
2017-09-01,0.002236284,0.0018920313164758563,66,9
2017-10-01,0.001338224,0.0019005641916255342,66,10
2017-03-01,0.004181002,0.0018712339492905146,69,0
2017-04-01,0.005276876,0.0018635944908421296,69,1
2017-05-01,0.003675369,0.00184815933737344,69,2
2017-06-01,0.002311777,0.0018392712009529968,69,3
2017-07-01,0.001324458,0.0019185762086985356,69,4
2017-08-01,-0.001318687,0.0018900483274717818,69,5
2017-09-01,0.002236284,0.0018920313164758563,69,6
2017-10-01,0.001338224,0.0019005641916255342,69,7
2017-11-01,0.004992827,0.001838860132067179,69,8
2017-12-01,0.002710201,0.0018735057841159628,69,9
2018-01-01,-0.000420828,0.0018310072280493445,69,10
2017-06-01,0.002311777,0.0018392712009529968,72,0
2017-07-01,0.001324458,0.0019185762086985356,72,1
2017-08-01,-0.001318687,0.0018900483274717818,72,2
2017-09-01,0.002236284,0.0018920313164758563,72,3
2017-10-01,0.001338224,0.0019005641916255342,72,4
2017-11-01,0.004992827,0.001838860132067179,72,5
2017-12-01,0.002710201,0.0018735057841159628,72,6
2018-01-01,-0.000420828,0.0018310072280493445,72,7
2018-02-01,0.00514569,0.001859946143350358,72,8
2018-03-01,0.00297025,0.0017998221963138705,72,9
2018-04-01,0.000447788,0.001761506792770276,72,10
2017-09-01,0.002236284,0.0018920313164758563,75,0
2017-10-01,0.001338224,0.0019005641916255342,75,1
2017-11-01,0.004992827,0.001838860132067179,75,2
2017-12-01,0.002710201,0.0018735057841159628,75,3
